ProductID,Category,Subcategory,Brand,ProductName,UnitCost,RetailPrice,LaunchDate,ProductStatus
P0081,Kitchen,Food Storage,Savour,Savour Food Storage 081,15.14,22.13,2020-03-30,Active
P0082,Home & Living,Storage,Casa,Casa Storage 082,29.31,50.12,2020-09-24,Active
P0083,Sports & Outdoor,Camping,Velocity,Velocity Camping 083,21.1,33.45,2023-09-22,Active
P0084,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 084,22.88,31.29,2023-03-16,Active
P0085,Kitchen,Cookware,Savour,Savour Cookware 085,8.91,16.5,2018-08-20,Active
P0086,Office Supplies,Paper,Sorta,Sorta Paper 086,9.97,23.38,2025-04-18,Seasonal
P0087,Sports & Outdoor,Camping,Endura,Endura Camping 087,32.6,62.59,2024-06-25,Active
P0088,Home & Living,Storage,Nestwell,Nestwell Storage 088,7.94,14.03,2024-04-05,Active
P0089,Kitchen,Food Storage,Kora,Kora Food Storage 089,4.87,8.0,2025-05-18,Active
P0090,Home & Living,Storage,Haven,Haven Storage 090,14.52,29.82,2022-10-11,Active
P0091,Office Supplies,Stationery,WriteRight,WriteRight Stationery 091,4.39,8.12,2018-09-30,Active
P0092,Furniture,Shelving,Linea,Linea Shelving 092,89.29,132.03,2017-10-21,Active
P0093,Sports & Outdoor,Team Sports,Endura,Endura Team Sports 093,17.57,25.38,2020-03-05,Active
P0094,Kitchen,Cookware,Kora,Kora Cookware 094,15.16,24.4,2023-07-24,Active
P0095,Sports & Outdoor,Cycling,Peak,Peak Cycling 095,7.94,15.0,2020-01-26,Active
P0096,Office Supplies,Printing,Sorta,Sorta Printing 096,2.29,3.94,2024-11-15,Active
P0097,Furniture,Chairs,Form & Co,Form & Co Chairs 097,92.45,126.43,2024-12-11,Active
P0098,Kitchen,Food Storage,Kora,Kora Food Storage 098,5.19,8.0,2025-06-13,Active
P0099,Furniture,Chairs,Linea,Linea Chairs 099,53.65,80.0,2018-10-10,Active
P0100,Furniture,Shelving,Cove,Cove Shelving 100,69.52,91.04,2020-10-30,Active
P0101,Home & Living,Lighting,Casa,Casa Lighting 101,16.58,26.36,2022-01-31,Active
P0102,Office Supplies,Paper,WriteRight,WriteRight Paper 102,3.81,6.31,2018-05-20,Active
P0103,Kitchen,Cookware,HomeChef,HomeChef Cookware 103,9.79,13.45,2020-03-31,Active
P0104,Electronics,Mobile Accessories,Axiom,Axiom Mobile Accessories 104,56.48,73.06,2022-09-26,Active
P0105,Home & Living,Lighting,Casa,Casa Lighting 105,17.77,27.11,2018-04-16,Active
P0106,Furniture,Shelving,Northwood,Northwood Shelving 106,122.06,176.82,2019-02-01,Active
P0107,Sports & Outdoor,Team Sports,Endura,Endura Team Sports 107,13.79,26.03,2018-06-01,Active
P0108,Office Supplies,Paper,WriteRight,WriteRight Paper 108,2.37,4.54,2025-02-13,Active
P0109,Home & Living,Decor,Luma,Luma Decor 109,13.09,20.29,2019-03-31,Active
P0110,Kitchen,Cookware,Savour,Savour Cookware 110,10.44,14.47,2019-10-08,Active
P0111,Kitchen,Food Storage,Savour,Savour Food Storage 111,5.8,10.35,2021-06-11,Active
P0112,Electronics,Computers,NovaTech,NovaTech Computers 112,51.51,69.53,2018-05-09,Active
P0113,Home & Living,Lighting,Oak & Ivy,Oak & Ivy Lighting 113,7.69,12.0,2022-11-06,Active
P0114,Sports & Outdoor,Fitness,Velocity,Velocity Fitness 114,38.41,53.43,2018-07-11,Active
P0115,Kitchen,Dining,Savour,Savour Dining 115,10.28,18.75,2023-07-25,Active
P0116,Sports & Outdoor,Camping,TrailPro,TrailPro Camping 116,25.09,42.61,2017-08-19,Active
P0117,Electronics,Mobile Accessories,Axiom,Axiom Mobile Accessories 117,40.37,57.69,2018-03-19,Discontinued
P0118,Kitchen,Cookware,Savour,Savour Cookware 118,5.09,8.56,2024-04-07,Active
P0119,Kitchen,Appliances,HomeChef,HomeChef Appliances 119,14.14,27.76,2021-02-13,Discontinued
P0120,Electronics,Audio,Orbit,Orbit Audio 120,27.07,35.0,2017-05-07,Active
P0121,Kitchen,Cookware,Table & Co,Table & Co Cookware 121,18.47,36.3,2025-07-04,Active
P0122,Sports & Outdoor,Cycling,Endura,Endura Cycling 122,14.68,21.04,2019-10-15,Active
P0123,Home & Living,Lighting,Oak & Ivy,Oak & Ivy Lighting 123,11.38,23.38,2023-02-07,Active
P0124,Sports & Outdoor,Team Sports,Velocity,Velocity Team Sports 124,36.32,62.51,2020-04-28,Active
P0125,Sports & Outdoor,Cycling,Peak,Peak Cycling 125,15.35,24.13,2024-07-17,Active
P0126,Home & Living,Storage,Luma,Luma Storage 126,11.5,20.02,2021-06-01,Active
P0127,Furniture,Living Room,Cove,Cove Living Room 127,73.23,96.97,2017-12-20,Active
P0128,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 128,12.74,24.15,2024-06-12,Active
P0129,Office Supplies,Printing,WriteRight,WriteRight Printing 129,1.76,3.0,2022-04-27,Active
P0130,Furniture,Desks,Form & Co,Form & Co Desks 130,111.46,165.99,2025-01-31,Active
P0131,Office Supplies,Organisation,Sorta,Sorta Organisation 131,2.02,3.0,2023-02-14,Active
P0132,Electronics,Mobile Accessories,Pulse,Pulse Mobile Accessories 132,26.57,35.0,2024-03-08,Active
P0133,Home & Living,Storage,Luma,Luma Storage 133,10.03,19.47,2019-07-27,Active
P0134,Sports & Outdoor,Team Sports,Endura,Endura Team Sports 134,88.75,149.39,2025-07-17,Active
P0135,Sports & Outdoor,Cycling,Peak,Peak Cycling 135,21.14,40.4,2022-10-06,Active
P0136,Home & Living,Bedding,Oak & Ivy,Oak & Ivy Bedding 136,38.3,77.6,2024-09-29,Active
P0137,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 137,10.43,17.3,2024-05-26,Active
P0138,Office Supplies,Paper,InkLab,InkLab Paper 138,4.71,8.31,2022-03-28,Active
P0139,Sports & Outdoor,Camping,Peak,Peak Camping 139,15.26,23.06,2022-07-29,Active
P0140,Kitchen,Appliances,Savour,Savour Appliances 140,4.4,8.0,2018-01-18,Active
P0141,Home & Living,Storage,Haven,Haven Storage 141,17.45,25.85,2020-10-30,Active
P0142,Electronics,Smart Home,NovaTech,NovaTech Smart Home 142,25.24,35.0,2023-03-01,Active
P0143,Sports & Outdoor,Fitness,Endura,Endura Fitness 143,31.97,50.46,2022-12-05,Discontinued
P0144,Electronics,Audio,NovaTech,NovaTech Audio 144,137.91,161.88,2020-07-18,Active
P0145,Office Supplies,Printing,InkLab,InkLab Printing 145,1.33,3.0,2025-07-30,Active
P0146,Office Supplies,Printing,Sorta,Sorta Printing 146,9.07,18.21,2022-06-18,Active
P0147,Sports & Outdoor,Cycling,Peak,Peak Cycling 147,23.48,32.05,2018-06-22,Active
P0148,Home & Living,Bedding,Nestwell,Nestwell Bedding 148,40.62,58.48,2023-07-15,Active
P0149,Electronics,Smart Home,Vertex,Vertex Smart Home 149,24.42,35.0,2023-05-31,Seasonal
P0150,Home & Living,Lighting,Oak & Ivy,Oak & Ivy Lighting 150,28.79,41.88,2017-11-19,Active
P0151,Home & Living,Decor,Haven,Haven Decor 151,33.43,68.54,2019-01-29,Active
P0152,Furniture,Living Room,Form & Co,Form & Co Living Room 152,111.57,151.8,2017-05-11,Active
P0153,Office Supplies,Printing,ProDesk,ProDesk Printing 153,17.81,38.05,2025-05-17,Active
P0154,Home & Living,Bedding,Casa,Casa Bedding 154,32.18,65.98,2020-06-09,Active
P0155,Office Supplies,Printing,PaperTrail,PaperTrail Printing 155,1.53,3.0,2022-10-03,Active
P0156,Office Supplies,Paper,Sorta,Sorta Paper 156,2.09,4.15,2020-03-09,Active
P0157,Electronics,Mobile Accessories,NovaTech,NovaTech Mobile Accessories 157,216.54,257.72,2019-03-23,Active
P0158,Sports & Outdoor,Camping,TrailPro,TrailPro Camping 158,22.92,33.33,2019-04-23,Active
P0159,Office Supplies,Printing,WriteRight,WriteRight Printing 159,1.68,3.0,2023-03-13,Active
P0160,Home & Living,Decor,Haven,Haven Decor 160,47.38,98.53,2021-03-29,Active
P0161,Kitchen,Appliances,HomeChef,HomeChef Appliances 161,11.47,17.88,2023-11-15,Seasonal
P0162,Sports & Outdoor,Cycling,Endura,Endura Cycling 162,10.08,15.0,2020-01-23,Active
P0163,Kitchen,Dining,Kora,Kora Dining 163,8.16,11.8,2017-02-21,Discontinued
P0164,Kitchen,Food Storage,Kora,Kora Food Storage 164,15.27,26.09,2025-08-04,Active
P0165,Electronics,Computers,Pulse,Pulse Computers 165,27.11,35.0,2019-10-08,Active
P0166,Office Supplies,Stationery,PaperTrail,PaperTrail Stationery 166,2.0,3.0,2022-12-20,Active
P0167,Electronics,Smart Home,Axiom,Axiom Smart Home 167,44.52,60.47,2020-02-03,Active
P0168,Home & Living,Storage,Haven,Haven Storage 168,13.58,20.53,2024-09-05,Active
P0169,Sports & Outdoor,Team Sports,Velocity,Velocity Team Sports 169,132.41,190.55,2024-05-02,Discontinued
P0170,Kitchen,Appliances,Kora,Kora Appliances 170,21.85,32.83,2024-01-30,Active
P0171,Electronics,Computers,Pulse,Pulse Computers 171,26.92,35.0,2025-02-16,Active
P0172,Furniture,Living Room,Northwood,Northwood Living Room 172,106.57,138.57,2020-10-09,Active
P0173,Sports & Outdoor,Fitness,TrailPro,TrailPro Fitness 173,14.7,21.21,2017-04-23,Active
P0174,Furniture,Shelving,Form & Co,Form & Co Shelving 174,232.86,384.72,2020-06-09,Active
P0175,Sports & Outdoor,Camping,Motion,Motion Camping 175,43.42,60.7,2020-11-07,Active
P0176,Furniture,Desks,WorkNest,WorkNest Desks 176,209.8,279.63,2022-07-04,Active
P0177,Furniture,Shelving,WorkNest,WorkNest Shelving 177,137.63,200.23,2023-03-07,Active
P0178,Furniture,Shelving,WorkNest,WorkNest Shelving 178,68.57,92.16,2024-01-31,Active
P0179,Kitchen,Cookware,FreshKeep,FreshKeep Cookware 179,8.66,13.75,2020-12-21,Active
P0180,Home & Living,Decor,Haven,Haven Decor 180,7.95,12.0,2021-12-03,Active
P0181,Home & Living,Bedding,Oak & Ivy,Oak & Ivy Bedding 181,17.9,28.75,2020-06-26,Active
P0182,Furniture,Shelving,Northwood,Northwood Shelving 182,203.74,349.64,2017-06-18,Active
P0183,Office Supplies,Printing,Sorta,Sorta Printing 183,2.66,5.34,2020-04-09,Active
P0184,Kitchen,Cookware,Savour,Savour Cookware 184,19.63,28.8,2021-10-26,Active
P0185,Electronics,Computers,NovaTech,NovaTech Computers 185,61.22,89.42,2024-09-16,Active
P0186,Furniture,Shelving,Form & Co,Form & Co Shelving 186,49.2,80.0,2017-11-28,Seasonal
P0187,Home & Living,Lighting,Casa,Casa Lighting 187,8.56,12.0,2023-03-19,Active
P0188,Furniture,Living Room,Northwood,Northwood Living Room 188,54.39,80.0,2024-03-28,Active
P0189,Home & Living,Storage,Luma,Luma Storage 189,18.61,37.34,2024-11-27,Active
P0190,Electronics,Smart Home,Orbit,Orbit Smart Home 190,378.83,443.11,2023-04-04,Active
P0191,Office Supplies,Organisation,PaperTrail,PaperTrail Organisation 191,4.38,6.88,2017-06-15,Active
P0192,Electronics,Mobile Accessories,Pulse,Pulse Mobile Accessories 192,94.49,127.5,2019-05-04,Active
P0193,Electronics,Smart Home,Axiom,Axiom Smart Home 193,202.19,231.16,2021-05-23,Active
P0194,Home & Living,Lighting,Nestwell,Nestwell Lighting 194,39.86,77.67,2019-11-03,Active
P0195,Electronics,Computers,Orbit,Orbit Computers 195,104.42,142.61,2018-05-31,Active
P0196,Office Supplies,Organisation,PaperTrail,PaperTrail Organisation 196,2.23,4.47,2025-07-20,Active
P0197,Home & Living,Decor,Nestwell,Nestwell Decor 197,16.04,27.15,2021-09-28,Active
P0198,Furniture,Shelving,Form & Co,Form & Co Shelving 198,69.35,115.35,2024-07-29,Active
P0199,Sports & Outdoor,Camping,Endura,Endura Camping 199,10.65,15.0,2018-08-05,Active
P0200,Sports & Outdoor,Cycling,Endura,Endura Cycling 200,10.08,15.0,2017-06-13,Active
P0201,Office Supplies,Organisation,Sorta,Sorta Organisation 201,4.65,10.03,2018-03-18,Active
P0202,Office Supplies,Printing,Sorta,Sorta Printing 202,9.85,14.7,2018-05-08,Active
P0203,Electronics,Audio,Orbit,Orbit Audio 203,36.42,45.43,2017-09-30,Active
P0204,Sports & Outdoor,Fitness,TrailPro,TrailPro Fitness 204,11.11,15.0,2021-06-25,Active
P0205,Office Supplies,Organisation,ProDesk,ProDesk Organisation 205,1.79,3.0,2017-05-25,Active
P0206,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 206,10.04,15.0,2017-05-09,Active
P0207,Electronics,Mobile Accessories,Pulse,Pulse Mobile Accessories 207,25.92,35.0,2022-11-30,Active
P0208,Home & Living,Storage,Casa,Casa Storage 208,16.3,27.32,2020-02-07,Active
P0209,Electronics,Smart Home,Vertex,Vertex Smart Home 209,40.36,49.7,2018-04-17,Active
P0210,Home & Living,Lighting,Casa,Casa Lighting 210,8.22,12.0,2024-03-29,Active
P0211,Kitchen,Cookware,HomeChef,HomeChef Cookware 211,12.71,20.33,2023-05-17,Active
P0212,Electronics,Audio,Vertex,Vertex Audio 212,56.39,64.53,2017-02-26,Active
P0213,Home & Living,Decor,Casa,Casa Decor 213,9.61,16.2,2017-05-11,Active
P0214,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 214,9.62,15.0,2018-07-12,Active
P0215,Sports & Outdoor,Camping,Peak,Peak Camping 215,30.63,46.91,2021-05-19,Active
P0216,Office Supplies,Printing,WriteRight,WriteRight Printing 216,1.81,3.6,2021-12-31,Active
P0217,Home & Living,Lighting,Luma,Luma Lighting 217,20.37,33.57,2025-01-18,Active
P0218,Home & Living,Lighting,Casa,Casa Lighting 218,8.55,14.78,2019-08-21,Active
P0219,Kitchen,Food Storage,FreshKeep,FreshKeep Food Storage 219,13.72,18.84,2022-09-06,Active
P0220,Electronics,Computers,Orbit,Orbit Computers 220,45.33,54.52,2022-10-23,Active
P0221,Office Supplies,Paper,WriteRight,WriteRight Paper 221,1.67,3.89,2017-04-23,Active
P0222,Electronics,Computers,Vertex,Vertex Computers 222,64.66,77.61,2022-05-03,Active
P0223,Kitchen,Appliances,Table & Co,Table & Co Appliances 223,4.95,8.0,2020-11-09,Active
P0224,Sports & Outdoor,Camping,TrailPro,TrailPro Camping 224,14.03,26.01,2017-09-03,Active
P0225,Home & Living,Bedding,Haven,Haven Bedding 225,258.88,394.54,2025-01-06,Active
P0226,Electronics,Mobile Accessories,Vertex,Vertex Mobile Accessories 226,53.37,68.07,2021-01-26,Active
P0227,Kitchen,Dining,Kora,Kora Dining 227,4.26,8.0,2021-04-03,Active
P0228,Kitchen,Dining,Savour,Savour Dining 228,98.3,140.7,2022-01-18,Active
P0229,Home & Living,Lighting,Luma,Luma Lighting 229,5.93,12.0,2020-08-10,Active
P0230,Office Supplies,Organisation,WriteRight,WriteRight Organisation 230,2.45,5.44,2018-04-23,Discontinued
P0231,Furniture,Chairs,Cove,Cove Chairs 231,99.75,131.98,2020-02-29,Active
P0232,Home & Living,Lighting,Haven,Haven Lighting 232,12.24,18.22,2024-05-11,Active
P0233,Office Supplies,Organisation,WriteRight,WriteRight Organisation 233,2.72,4.65,2023-03-27,Active
P0234,Home & Living,Lighting,Luma,Luma Lighting 234,55.89,82.32,2019-05-27,Active
P0235,Sports & Outdoor,Cycling,Velocity,Velocity Cycling 235,10.34,19.43,2019-09-28,Active
P0236,Kitchen,Food Storage,FreshKeep,FreshKeep Food Storage 236,12.66,19.06,2021-10-20,Active
P0237,Home & Living,Bedding,Luma,Luma Bedding 237,6.5,12.0,2019-07-18,Active
P0238,Furniture,Chairs,Form & Co,Form & Co Chairs 238,60.26,85.88,2023-04-22,Active
P0239,Electronics,Smart Home,Vertex,Vertex Smart Home 239,65.97,86.11,2018-10-29,Active
P0240,Electronics,Audio,Vertex,Vertex Audio 240,282.36,333.08,2022-08-27,Active
P0241,Office Supplies,Paper,WriteRight,WriteRight Paper 241,4.37,9.28,2024-04-24,Active
P0242,Sports & Outdoor,Cycling,Velocity,Velocity Cycling 242,13.04,18.44,2023-11-07,Active
P0243,Office Supplies,Printing,WriteRight,WriteRight Printing 243,6.46,11.77,2025-04-29,Active
P0244,Sports & Outdoor,Camping,Endura,Endura Camping 244,18.74,29.04,2020-02-24,Active
P0245,Electronics,Computers,Vertex,Vertex Computers 245,27.75,35.0,2019-04-12,Active
P0246,Office Supplies,Paper,InkLab,InkLab Paper 246,2.02,3.12,2019-05-16,Active
P0247,Office Supplies,Printing,PaperTrail,PaperTrail Printing 247,11.82,18.25,2024-08-04,Active
P0248,Electronics,Smart Home,Pulse,Pulse Smart Home 248,27.77,35.0,2019-06-26,Seasonal
P0249,Kitchen,Food Storage,FreshKeep,FreshKeep Food Storage 249,35.94,57.54,2021-10-10,Active
P0250,Kitchen,Dining,Table & Co,Table & Co Dining 250,17.96,35.52,2022-08-21,Active
P0251,Home & Living,Bedding,Luma,Luma Bedding 251,6.12,12.0,2020-10-04,Active
P0252,Electronics,Smart Home,NovaTech,NovaTech Smart Home 252,39.16,46.45,2024-04-02,Active
P0253,Electronics,Computers,Orbit,Orbit Computers 253,38.83,50.62,2019-01-24,Active
P0254,Furniture,Chairs,Northwood,Northwood Chairs 254,60.0,80.0,2022-02-09,Active
P0255,Kitchen,Dining,Table & Co,Table & Co Dining 255,15.12,22.55,2018-04-03,Active
P0256,Kitchen,Food Storage,HomeChef,HomeChef Food Storage 256,12.45,18.48,2022-07-31,Active
P0257,Office Supplies,Printing,ProDesk,ProDesk Printing 257,1.31,3.0,2022-10-18,Active
P0258,Home & Living,Lighting,Haven,Haven Lighting 258,6.36,12.0,2023-07-30,Active
P0259,Furniture,Living Room,Form & Co,Form & Co Living Room 259,96.85,146.13,2022-10-13,Active
P0260,Electronics,Computers,NovaTech,NovaTech Computers 260,522.0,675.06,2022-05-26,Active
P0261,Electronics,Smart Home,Axiom,Axiom Smart Home 261,51.52,73.11,2023-03-16,Active
P0262,Sports & Outdoor,Fitness,Motion,Motion Fitness 262,94.51,156.37,2021-01-29,Active
P0263,Kitchen,Appliances,Kora,Kora Appliances 263,26.6,51.27,2024-04-08,Active
P0264,Office Supplies,Printing,Sorta,Sorta Printing 264,2.63,5.21,2022-07-31,Active
P0265,Furniture,Living Room,Cove,Cove Living Room 265,79.19,100.62,2023-11-01,Active
P0266,Electronics,Computers,Vertex,Vertex Computers 266,53.79,68.86,2019-03-29,Active
P0267,Home & Living,Lighting,Casa,Casa Lighting 267,27.69,41.97,2021-06-02,Active
P0268,Electronics,Computers,Axiom,Axiom Computers 268,74.09,84.74,2019-06-20,Active
P0269,Home & Living,Bedding,Nestwell,Nestwell Bedding 269,7.39,12.0,2024-11-05,Active
P0270,Home & Living,Storage,Luma,Luma Storage 270,27.67,50.63,2018-10-29,Active
P0271,Kitchen,Food Storage,Table & Co,Table & Co Food Storage 271,5.31,8.0,2020-05-23,Active
P0272,Furniture,Living Room,Linea,Linea Living Room 272,53.4,80.0,2025-03-27,Active
P0273,Electronics,Smart Home,Axiom,Axiom Smart Home 273,27.84,35.0,2021-09-28,Active
P0274,Electronics,Audio,NovaTech,NovaTech Audio 274,156.78,188.55,2025-05-23,Active
P0275,Sports & Outdoor,Team Sports,Endura,Endura Team Sports 275,19.54,31.19,2018-06-22,Active
P0276,Sports & Outdoor,Cycling,Endura,Endura Cycling 276,26.24,38.11,2020-04-12,Active
P0277,Sports & Outdoor,Fitness,Endura,Endura Fitness 277,23.34,36.85,2018-07-18,Active
P0278,Sports & Outdoor,Cycling,Motion,Motion Cycling 278,19.9,30.86,2019-11-25,Active
