TargetID,StoreID,DateKey,Date,YearMonth,Region,TargetRevenue,TargetProfitMargin,TargetOrders
T-S001-2025-01,S001,20250101,2025-01-01,2025-01,Metro South,18996.03,0.2557,95
T-S001-2025-02,S001,20250201,2025-02-01,2025-02,Metro South,14051.74,0.2438,85
T-S001-2025-03,S001,20250301,2025-03-01,2025-03,Metro South,11578.42,0.2437,80
T-S001-2025-04,S001,20250401,2025-04-01,2025-04,Metro South,10000.0,0.25,80
T-S001-2025-05,S001,20250501,2025-05-01,2025-05,Metro South,11203.19,0.2472,80
T-S001-2025-06,S001,20250601,2025-06-01,2025-06,Metro South,11874.75,0.2497,80
T-S001-2025-07,S001,20250701,2025-07-01,2025-07,Metro South,10941.85,0.2292,80
T-S001-2025-08,S001,20250801,2025-08-01,2025-08,Metro South,11388.73,0.2517,80
T-S001-2025-09,S001,20250901,2025-09-01,2025-09,Metro South,12999.51,0.244,80
T-S001-2025-10,S001,20251001,2025-10-01,2025-10,Metro South,12623.38,0.2502,80
T-S001-2025-11,S001,20251101,2025-11-01,2025-11,Metro South,13435.68,0.2389,84
T-S001-2025-12,S001,20251201,2025-12-01,2025-12,Metro South,19353.83,0.2527,99
T-S002-2023-01,S002,20230101,2023-01-01,2023-01,Metro East,12168.46,0.2552,80
T-S002-2023-02,S002,20230201,2023-02-01,2023-02,Metro East,11073.31,0.2353,80
T-S002-2023-03,S002,20230301,2023-03-01,2023-03,Metro East,10000.0,0.2457,80
T-S002-2023-04,S002,20230401,2023-04-01,2023-04,Metro East,10000.0,0.2528,80
T-S002-2023-05,S002,20230501,2023-05-01,2023-05,Metro East,10000.0,0.2476,80
T-S002-2023-06,S002,20230601,2023-06-01,2023-06,Metro East,10224.66,0.2355,80
T-S002-2023-07,S002,20230701,2023-07-01,2023-07,Metro East,12261.0,0.2452,80
T-S002-2023-08,S002,20230801,2023-08-01,2023-08,Metro East,11381.54,0.2495,80
T-S002-2023-09,S002,20230901,2023-09-01,2023-09,Metro East,10000.0,0.2396,80
T-S002-2023-10,S002,20231001,2023-10-01,2023-10,Metro East,10000.0,0.2611,80
T-S002-2023-11,S002,20231101,2023-11-01,2023-11,Metro East,12523.97,0.2526,80
T-S002-2023-12,S002,20231201,2023-12-01,2023-12,Metro East,17720.26,0.2474,117
T-S002-2024-01,S002,20240101,2024-01-01,2024-01,Metro East,18174.91,0.2465,94
T-S002-2024-02,S002,20240201,2024-02-01,2024-02,Metro East,13945.41,0.2331,80
T-S002-2024-03,S002,20240301,2024-03-01,2024-03,Metro East,10000.0,0.2507,80
T-S002-2024-04,S002,20240401,2024-04-01,2024-04,Metro East,10000.0,0.2326,80
T-S002-2024-05,S002,20240501,2024-05-01,2024-05,Metro East,10000.0,0.2513,80
T-S002-2024-06,S002,20240601,2024-06-01,2024-06,Metro East,10049.72,0.2283,80
T-S002-2024-07,S002,20240701,2024-07-01,2024-07,Metro East,11201.89,0.2431,80
T-S002-2024-08,S002,20240801,2024-08-01,2024-08,Metro East,12097.53,0.2611,80
T-S002-2024-09,S002,20240901,2024-09-01,2024-09,Metro East,11800.46,0.2425,80
T-S002-2024-10,S002,20241001,2024-10-01,2024-10,Metro East,10520.98,0.2327,80
T-S002-2024-11,S002,20241101,2024-11-01,2024-11,Metro East,10874.95,0.2412,80
T-S002-2024-12,S002,20241201,2024-12-01,2024-12,Metro East,15259.14,0.2263,89
T-S002-2025-01,S002,20250101,2025-01-01,2025-01,Metro East,18649.21,0.2498,123
T-S002-2025-02,S002,20250201,2025-02-01,2025-02,Metro East,14073.8,0.2445,80
T-S002-2025-03,S002,20250301,2025-03-01,2025-03,Metro East,13151.05,0.2478,85
T-S002-2025-04,S002,20250401,2025-04-01,2025-04,Metro East,12855.41,0.2562,81
T-S002-2025-05,S002,20250501,2025-05-01,2025-05,Metro East,12661.56,0.2423,80
T-S002-2025-06,S002,20250601,2025-06-01,2025-06,Metro East,14538.09,0.2489,80
T-S002-2025-07,S002,20250701,2025-07-01,2025-07,Metro East,15679.98,0.2443,80
T-S002-2025-08,S002,20250801,2025-08-01,2025-08,Metro East,12092.07,0.2454,80
T-S002-2025-09,S002,20250901,2025-09-01,2025-09,Metro East,10000.0,0.2472,80
T-S002-2025-10,S002,20251001,2025-10-01,2025-10,Metro East,10074.36,0.2476,80
T-S002-2025-11,S002,20251101,2025-11-01,2025-11,Metro East,14647.41,0.2472,80
T-S002-2025-12,S002,20251201,2025-12-01,2025-12,Metro East,22450.38,0.2518,119
T-S003-2023-01,S003,20230101,2023-01-01,2023-01,Metro East,12154.25,0.2497,80
T-S003-2023-02,S003,20230201,2023-02-01,2023-02,Metro East,10592.95,0.2377,80
T-S003-2023-03,S003,20230301,2023-03-01,2023-03,Metro East,10000.0,0.2311,80
T-S003-2023-04,S003,20230401,2023-04-01,2023-04,Metro East,10000.0,0.2627,80
T-S003-2023-05,S003,20230501,2023-05-01,2023-05,Metro East,10000.0,0.2409,80
T-S003-2023-06,S003,20230601,2023-06-01,2023-06,Metro East,10000.0,0.2516,80
T-S003-2023-07,S003,20230701,2023-07-01,2023-07,Metro East,10722.4,0.2405,80
T-S003-2023-08,S003,20230801,2023-08-01,2023-08,Metro East,10000.0,0.2436,80
T-S003-2023-09,S003,20230901,2023-09-01,2023-09,Metro East,10000.0,0.2603,80
T-S003-2023-10,S003,20231001,2023-10-01,2023-10,Metro East,11129.29,0.255,80
T-S003-2023-11,S003,20231101,2023-11-01,2023-11,Metro East,12158.8,0.2323,80
T-S003-2023-12,S003,20231201,2023-12-01,2023-12,Metro East,19118.78,0.241,128
T-S003-2024-01,S003,20240101,2024-01-01,2024-01,Metro East,16816.31,0.2456,92
T-S003-2024-02,S003,20240201,2024-02-01,2024-02,Metro East,10000.0,0.2416,80
T-S003-2024-03,S003,20240301,2024-03-01,2024-03,Metro East,10000.0,0.2334,80
T-S003-2024-04,S003,20240401,2024-04-01,2024-04,Metro East,10016.04,0.2485,80
T-S003-2024-05,S003,20240501,2024-05-01,2024-05,Metro East,10690.9,0.2443,80
T-S003-2024-06,S003,20240601,2024-06-01,2024-06,Metro East,10372.93,0.2339,80
T-S003-2024-07,S003,20240701,2024-07-01,2024-07,Metro East,10867.62,0.2328,80
T-S003-2024-08,S003,20240801,2024-08-01,2024-08,Metro East,13213.73,0.2608,80
T-S003-2024-09,S003,20240901,2024-09-01,2024-09,Metro East,10506.18,0.2508,80
T-S003-2024-10,S003,20241001,2024-10-01,2024-10,Metro East,10000.0,0.2557,80
T-S003-2024-11,S003,20241101,2024-11-01,2024-11,Metro East,11706.96,0.2483,80
T-S003-2024-12,S003,20241201,2024-12-01,2024-12,Metro East,18628.35,0.2395,124
T-S003-2025-01,S003,20250101,2025-01-01,2025-01,Metro East,15154.38,0.2503,95
T-S003-2025-02,S003,20250201,2025-02-01,2025-02,Metro East,11581.66,0.2381,80
T-S003-2025-03,S003,20250301,2025-03-01,2025-03,Metro East,12638.74,0.2453,82
T-S003-2025-04,S003,20250401,2025-04-01,2025-04,Metro East,12819.95,0.2419,80
T-S003-2025-05,S003,20250501,2025-05-01,2025-05,Metro East,10304.18,0.249,80
T-S003-2025-06,S003,20250601,2025-06-01,2025-06,Metro East,11074.39,0.2382,80
T-S003-2025-07,S003,20250701,2025-07-01,2025-07,Metro East,12981.05,0.2484,81
T-S003-2025-08,S003,20250801,2025-08-01,2025-08,Metro East,12623.53,0.2565,82
T-S003-2025-09,S003,20250901,2025-09-01,2025-09,Metro East,10930.77,0.2439,80
T-S003-2025-10,S003,20251001,2025-10-01,2025-10,Metro East,10573.22,0.2452,80
T-S003-2025-11,S003,20251101,2025-11-01,2025-11,Metro East,15171.91,0.2475,80
T-S003-2025-12,S003,20251201,2025-12-01,2025-12,Metro East,22412.13,0.2445,141
T-S004-2023-01,S004,20230101,2023-01-01,2023-01,Regional Victoria,11382.99,0.2441,80
T-S004-2023-02,S004,20230201,2023-02-01,2023-02,Regional Victoria,10297.58,0.2337,80
T-S004-2023-03,S004,20230301,2023-03-01,2023-03,Regional Victoria,10000.0,0.2403,80
T-S004-2023-04,S004,20230401,2023-04-01,2023-04,Regional Victoria,10000.0,0.2347,80
T-S004-2023-05,S004,20230501,2023-05-01,2023-05,Regional Victoria,10112.71,0.2585,80
T-S004-2023-06,S004,20230601,2023-06-01,2023-06,Regional Victoria,10547.72,0.2554,80
T-S004-2023-07,S004,20230701,2023-07-01,2023-07,Regional Victoria,11827.84,0.2468,80
T-S004-2023-08,S004,20230801,2023-08-01,2023-08,Regional Victoria,11782.98,0.2468,80
T-S004-2023-09,S004,20230901,2023-09-01,2023-09,Regional Victoria,10000.0,0.242,80
T-S004-2023-10,S004,20231001,2023-10-01,2023-10,Regional Victoria,10000.0,0.2488,80
T-S004-2023-11,S004,20231101,2023-11-01,2023-11,Regional Victoria,14337.07,0.2372,83
T-S004-2023-12,S004,20231201,2023-12-01,2023-12,Regional Victoria,18267.47,0.2405,90
T-S004-2024-01,S004,20240101,2024-01-01,2024-01,Regional Victoria,18559.95,0.2296,101
T-S004-2024-02,S004,20240201,2024-02-01,2024-02,Regional Victoria,12475.6,0.242,80
T-S004-2024-03,S004,20240301,2024-03-01,2024-03,Regional Victoria,12608.23,0.237,86
T-S004-2024-04,S004,20240401,2024-04-01,2024-04,Regional Victoria,11398.91,0.2457,80
T-S004-2024-05,S004,20240501,2024-05-01,2024-05,Regional Victoria,11668.76,0.2468,80
T-S004-2024-06,S004,20240601,2024-06-01,2024-06,Regional Victoria,13747.4,0.2471,85
T-S004-2024-07,S004,20240701,2024-07-01,2024-07,Regional Victoria,13605.11,0.2423,80
T-S004-2024-08,S004,20240801,2024-08-01,2024-08,Regional Victoria,11153.84,0.2467,80
T-S004-2024-09,S004,20240901,2024-09-01,2024-09,Regional Victoria,10833.41,0.2629,80
T-S004-2024-10,S004,20241001,2024-10-01,2024-10,Regional Victoria,12052.05,0.2508,80
T-S004-2024-11,S004,20241101,2024-11-01,2024-11,Regional Victoria,12878.71,0.2436,83
T-S004-2024-12,S004,20241201,2024-12-01,2024-12,Regional Victoria,18247.91,0.238,94
T-S004-2025-01,S004,20250101,2025-01-01,2025-01,Regional Victoria,20243.1,0.2419,138
T-S004-2025-02,S004,20250201,2025-02-01,2025-02,Regional Victoria,13760.34,0.2446,80
T-S004-2025-03,S004,20250301,2025-03-01,2025-03,Regional Victoria,14369.7,0.2549,93
T-S004-2025-04,S004,20250401,2025-04-01,2025-04,Regional Victoria,13935.8,0.2466,80
T-S004-2025-05,S004,20250501,2025-05-01,2025-05,Regional Victoria,11935.03,0.2425,80
T-S004-2025-06,S004,20250601,2025-06-01,2025-06,Regional Victoria,12589.66,0.2342,80
T-S004-2025-07,S004,20250701,2025-07-01,2025-07,Regional Victoria,12245.03,0.2441,80
T-S004-2025-08,S004,20250801,2025-08-01,2025-08,Regional Victoria,12730.8,0.2436,80
T-S004-2025-09,S004,20250901,2025-09-01,2025-09,Regional Victoria,11970.29,0.2445,80
T-S004-2025-10,S004,20251001,2025-10-01,2025-10,Regional Victoria,13202.35,0.2488,89
T-S004-2025-11,S004,20251101,2025-11-01,2025-11,Regional Victoria,17414.21,0.2391,118
T-S004-2025-12,S004,20251201,2025-12-01,2025-12,Regional Victoria,25127.23,0.242,125
T-S005-2023-01,S005,20230101,2023-01-01,2023-01,Regional Victoria,10000.0,0.2475,80
T-S005-2023-02,S005,20230201,2023-02-01,2023-02,Regional Victoria,10000.0,0.2553,80
T-S005-2023-03,S005,20230301,2023-03-01,2023-03,Regional Victoria,10000.0,0.2396,80
T-S005-2023-04,S005,20230401,2023-04-01,2023-04,Regional Victoria,10000.0,0.2537,80
T-S005-2023-05,S005,20230501,2023-05-01,2023-05,Regional Victoria,10000.0,0.26,80
T-S005-2023-06,S005,20230601,2023-06-01,2023-06,Regional Victoria,10000.0,0.259,80
T-S005-2023-07,S005,20230701,2023-07-01,2023-07,Regional Victoria,10000.0,0.252,80
T-S005-2023-08,S005,20230801,2023-08-01,2023-08,Regional Victoria,10000.0,0.2628,80
T-S005-2023-09,S005,20230901,2023-09-01,2023-09,Regional Victoria,10000.0,0.2464,80
T-S005-2023-10,S005,20231001,2023-10-01,2023-10,Regional Victoria,10000.0,0.2523,80
T-S005-2023-11,S005,20231101,2023-11-01,2023-11,Regional Victoria,10000.0,0.2524,80
T-S005-2023-12,S005,20231201,2023-12-01,2023-12,Regional Victoria,10450.39,0.2515,80
T-S005-2024-01,S005,20240101,2024-01-01,2024-01,Regional Victoria,13800.23,0.2582,80
T-S005-2024-02,S005,20240201,2024-02-01,2024-02,Regional Victoria,10000.0,0.2514,80
T-S005-2024-03,S005,20240301,2024-03-01,2024-03,Regional Victoria,10000.0,0.2634,80
T-S005-2024-04,S005,20240401,2024-04-01,2024-04,Regional Victoria,10000.0,0.264,80
T-S005-2024-05,S005,20240501,2024-05-01,2024-05,Regional Victoria,10000.0,0.2511,80
T-S005-2024-06,S005,20240601,2024-06-01,2024-06,Regional Victoria,10000.0,0.2548,80
T-S005-2024-07,S005,20240701,2024-07-01,2024-07,Regional Victoria,10000.0,0.2719,80
T-S005-2024-08,S005,20240801,2024-08-01,2024-08,Regional Victoria,10000.0,0.2501,80
T-S005-2024-09,S005,20240901,2024-09-01,2024-09,Regional Victoria,10000.0,0.2733,80
T-S005-2024-10,S005,20241001,2024-10-01,2024-10,Regional Victoria,10000.0,0.2534,80
T-S005-2024-11,S005,20241101,2024-11-01,2024-11,Regional Victoria,10000.0,0.2459,80
T-S005-2024-12,S005,20241201,2024-12-01,2024-12,Regional Victoria,10842.33,0.2574,80
T-S005-2025-01,S005,20250101,2025-01-01,2025-01,Regional Victoria,13647.13,0.2552,80
T-S005-2025-02,S005,20250201,2025-02-01,2025-02,Regional Victoria,10000.0,0.2447,80
T-S005-2025-03,S005,20250301,2025-03-01,2025-03,Regional Victoria,10000.0,0.246,80
T-S005-2025-04,S005,20250401,2025-04-01,2025-04,Regional Victoria,10000.0,0.2508,80
T-S005-2025-05,S005,20250501,2025-05-01,2025-05,Regional Victoria,10000.0,0.2556,80
T-S005-2025-06,S005,20250601,2025-06-01,2025-06,Regional Victoria,10000.0,0.2603,80
T-S005-2025-07,S005,20250701,2025-07-01,2025-07,Regional Victoria,10000.0,0.256,80
T-S005-2025-08,S005,20250801,2025-08-01,2025-08,Regional Victoria,10851.7,0.2433,80
T-S005-2025-09,S005,20250901,2025-09-01,2025-09,Regional Victoria,10000.0,0.2566,80
T-S005-2025-10,S005,20251001,2025-10-01,2025-10,Regional Victoria,10000.0,0.2533,80
T-S005-2025-11,S005,20251101,2025-11-01,2025-11,Regional Victoria,10000.0,0.2502,80
T-S005-2025-12,S005,20251201,2025-12-01,2025-12,Regional Victoria,13536.59,0.2576,87
T-S006-2023-01,S006,20230101,2023-01-01,2023-01,Regional Victoria,10000.0,0.2525,80
T-S006-2023-02,S006,20230201,2023-02-01,2023-02,Regional Victoria,10000.0,0.2591,80
T-S006-2023-03,S006,20230301,2023-03-01,2023-03,Regional Victoria,10000.0,0.2521,80
T-S006-2023-04,S006,20230401,2023-04-01,2023-04,Regional Victoria,10000.0,0.2689,80
T-S006-2023-05,S006,20230501,2023-05-01,2023-05,Regional Victoria,10000.0,0.2504,80
T-S006-2023-06,S006,20230601,2023-06-01,2023-06,Regional Victoria,10000.0,0.2596,80
T-S006-2023-07,S006,20230701,2023-07-01,2023-07,Regional Victoria,10000.0,0.2504,80
T-S006-2023-08,S006,20230801,2023-08-01,2023-08,Regional Victoria,10000.0,0.2544,80
T-S006-2023-09,S006,20230901,2023-09-01,2023-09,Regional Victoria,10000.0,0.2409,80
T-S006-2023-10,S006,20231001,2023-10-01,2023-10,Regional Victoria,10000.0,0.2436,80
T-S006-2023-11,S006,20231101,2023-11-01,2023-11,Regional Victoria,10000.0,0.2514,80
T-S006-2023-12,S006,20231201,2023-12-01,2023-12,Regional Victoria,10883.49,0.2482,80
T-S006-2024-01,S006,20240101,2024-01-01,2024-01,Regional Victoria,10000.0,0.2615,80
T-S006-2024-02,S006,20240201,2024-02-01,2024-02,Regional Victoria,10000.0,0.2488,80
T-S006-2024-03,S006,20240301,2024-03-01,2024-03,Regional Victoria,10000.0,0.2429,80
T-S006-2024-04,S006,20240401,2024-04-01,2024-04,Regional Victoria,10000.0,0.268,80
T-S006-2024-05,S006,20240501,2024-05-01,2024-05,Regional Victoria,10000.0,0.2507,80
T-S006-2024-06,S006,20240601,2024-06-01,2024-06,Regional Victoria,10000.0,0.2395,80
T-S006-2024-07,S006,20240701,2024-07-01,2024-07,Regional Victoria,10000.0,0.2528,80
T-S006-2024-08,S006,20240801,2024-08-01,2024-08,Regional Victoria,10000.0,0.26,80
T-S006-2024-09,S006,20240901,2024-09-01,2024-09,Regional Victoria,10000.0,0.2528,80
T-S006-2024-10,S006,20241001,2024-10-01,2024-10,Regional Victoria,10000.0,0.2596,80
T-S006-2024-11,S006,20241101,2024-11-01,2024-11,Regional Victoria,10000.0,0.2617,80
T-S006-2024-12,S006,20241201,2024-12-01,2024-12,Regional Victoria,10807.31,0.2588,80
T-S006-2025-01,S006,20250101,2025-01-01,2025-01,Regional Victoria,10305.55,0.2714,80
T-S006-2025-02,S006,20250201,2025-02-01,2025-02,Regional Victoria,10000.0,0.2652,80
T-S006-2025-03,S006,20250301,2025-03-01,2025-03,Regional Victoria,10000.0,0.2521,80
T-S006-2025-04,S006,20250401,2025-04-01,2025-04,Regional Victoria,10000.0,0.2456,80
T-S006-2025-05,S006,20250501,2025-05-01,2025-05,Regional Victoria,10000.0,0.2623,80
T-S006-2025-06,S006,20250601,2025-06-01,2025-06,Regional Victoria,10161.9,0.2613,80
T-S006-2025-07,S006,20250701,2025-07-01,2025-07,Regional Victoria,10000.0,0.2644,80
T-S006-2025-08,S006,20250801,2025-08-01,2025-08,Regional Victoria,10000.0,0.2518,80
T-S006-2025-09,S006,20250901,2025-09-01,2025-09,Regional Victoria,10000.0,0.2651,80
T-S006-2025-10,S006,20251001,2025-10-01,2025-10,Regional Victoria,10000.0,0.2516,80
T-S006-2025-11,S006,20251101,2025-11-01,2025-11,Regional Victoria,10000.0,0.2486,80
T-S006-2025-12,S006,20251201,2025-12-01,2025-12,Regional Victoria,12805.76,0.2519,87
T-S007-2023-01,S007,20230101,2023-01-01,2023-01,Metro Sydney,10000.0,0.2524,80
T-S007-2023-02,S007,20230201,2023-02-01,2023-02,Metro Sydney,10000.0,0.2569,80
T-S007-2023-03,S007,20230301,2023-03-01,2023-03,Metro Sydney,10000.0,0.2449,80
T-S007-2023-04,S007,20230401,2023-04-01,2023-04,Metro Sydney,10000.0,0.2556,80
T-S007-2023-05,S007,20230501,2023-05-01,2023-05,Metro Sydney,10000.0,0.2597,80
T-S007-2023-06,S007,20230601,2023-06-01,2023-06,Metro Sydney,10000.0,0.2465,80
T-S007-2023-07,S007,20230701,2023-07-01,2023-07,Metro Sydney,10000.0,0.2669,80
T-S007-2023-08,S007,20230801,2023-08-01,2023-08,Metro Sydney,10000.0,0.2487,80
T-S007-2023-09,S007,20230901,2023-09-01,2023-09,Metro Sydney,10000.0,0.2754,80
T-S007-2023-10,S007,20231001,2023-10-01,2023-10,Metro Sydney,10000.0,0.2559,80
T-S007-2023-11,S007,20231101,2023-11-01,2023-11,Metro Sydney,10000.0,0.2562,80
T-S007-2023-12,S007,20231201,2023-12-01,2023-12,Metro Sydney,11276.41,0.2556,80
T-S007-2024-01,S007,20240101,2024-01-01,2024-01,Metro Sydney,13057.15,0.2425,80
T-S007-2024-02,S007,20240201,2024-02-01,2024-02,Metro Sydney,10000.0,0.2494,80
T-S007-2024-03,S007,20240301,2024-03-01,2024-03,Metro Sydney,10000.0,0.2548,80
T-S007-2024-04,S007,20240401,2024-04-01,2024-04,Metro Sydney,10000.0,0.2593,80
T-S007-2024-05,S007,20240501,2024-05-01,2024-05,Metro Sydney,10000.0,0.2554,80
T-S007-2024-06,S007,20240601,2024-06-01,2024-06,Metro Sydney,10000.0,0.2533,80
T-S007-2024-07,S007,20240701,2024-07-01,2024-07,Metro Sydney,10000.0,0.2515,80
T-S007-2024-08,S007,20240801,2024-08-01,2024-08,Metro Sydney,10000.0,0.2634,80
T-S007-2024-09,S007,20240901,2024-09-01,2024-09,Metro Sydney,10000.0,0.2482,80
T-S007-2024-10,S007,20241001,2024-10-01,2024-10,Metro Sydney,10000.0,0.2658,80
T-S007-2024-11,S007,20241101,2024-11-01,2024-11,Metro Sydney,10000.0,0.2758,80
T-S007-2024-12,S007,20241201,2024-12-01,2024-12,Metro Sydney,13435.09,0.2577,80
T-S007-2025-01,S007,20250101,2025-01-01,2025-01,Metro Sydney,13581.06,0.2548,92
T-S007-2025-02,S007,20250201,2025-02-01,2025-02,Metro Sydney,10000.0,0.2525,80
T-S007-2025-03,S007,20250301,2025-03-01,2025-03,Metro Sydney,10055.54,0.2585,80
T-S007-2025-04,S007,20250401,2025-04-01,2025-04,Metro Sydney,11004.62,0.2714,80
T-S007-2025-05,S007,20250501,2025-05-01,2025-05,Metro Sydney,10000.0,0.2522,80
T-S007-2025-06,S007,20250601,2025-06-01,2025-06,Metro Sydney,10545.01,0.2608,80
T-S007-2025-07,S007,20250701,2025-07-01,2025-07,Metro Sydney,11514.73,0.2545,80
T-S007-2025-08,S007,20250801,2025-08-01,2025-08,Metro Sydney,11437.07,0.2482,80
T-S007-2025-09,S007,20250901,2025-09-01,2025-09,Metro Sydney,10000.0,0.2556,80
T-S007-2025-10,S007,20251001,2025-10-01,2025-10,Metro Sydney,10000.0,0.249,80
T-S007-2025-11,S007,20251101,2025-11-01,2025-11,Metro Sydney,12232.85,0.2489,80
T-S007-2025-12,S007,20251201,2025-12-01,2025-12,Metro Sydney,15429.58,0.2631,80
T-S008-2023-01,S008,20230101,2023-01-01,2023-01,Metro Sydney,10508.62,0.2478,80
T-S008-2023-02,S008,20230201,2023-02-01,2023-02,Metro Sydney,10104.42,0.2506,80
T-S008-2023-03,S008,20230301,2023-03-01,2023-03,Metro Sydney,10000.0,0.2476,80
T-S008-2023-04,S008,20230401,2023-04-01,2023-04,Metro Sydney,10000.0,0.2554,80
T-S008-2023-05,S008,20230501,2023-05-01,2023-05,Metro Sydney,10000.0,0.2335,80
T-S008-2023-06,S008,20230601,2023-06-01,2023-06,Metro Sydney,10000.0,0.2386,80
T-S008-2023-07,S008,20230701,2023-07-01,2023-07,Metro Sydney,10959.58,0.238,80
T-S008-2023-08,S008,20230801,2023-08-01,2023-08,Metro Sydney,10000.0,0.2512,80
T-S008-2023-09,S008,20230901,2023-09-01,2023-09,Metro Sydney,10000.0,0.2535,80
T-S008-2023-10,S008,20231001,2023-10-01,2023-10,Metro Sydney,10635.52,0.2478,80
T-S008-2023-11,S008,20231101,2023-11-01,2023-11,Metro Sydney,11416.18,0.2676,80
T-S008-2023-12,S008,20231201,2023-12-01,2023-12,Metro Sydney,16253.81,0.2567,105
T-S008-2024-01,S008,20240101,2024-01-01,2024-01,Metro Sydney,15250.34,0.255,80
T-S008-2024-02,S008,20240201,2024-02-01,2024-02,Metro Sydney,10307.76,0.2447,80
T-S008-2024-03,S008,20240301,2024-03-01,2024-03,Metro Sydney,10992.73,0.2386,80
T-S008-2024-04,S008,20240401,2024-04-01,2024-04,Metro Sydney,10678.04,0.2597,80
T-S008-2024-05,S008,20240501,2024-05-01,2024-05,Metro Sydney,11142.18,0.2417,80
T-S008-2024-06,S008,20240601,2024-06-01,2024-06,Metro Sydney,11901.33,0.2557,80
T-S008-2024-07,S008,20240701,2024-07-01,2024-07,Metro Sydney,11318.88,0.2391,80
T-S008-2024-08,S008,20240801,2024-08-01,2024-08,Metro Sydney,13355.39,0.246,86
T-S008-2024-09,S008,20240901,2024-09-01,2024-09,Metro Sydney,13536.51,0.2486,80
T-S008-2024-10,S008,20241001,2024-10-01,2024-10,Metro Sydney,10022.01,0.2417,80
T-S008-2024-11,S008,20241101,2024-11-01,2024-11,Metro Sydney,12067.49,0.2377,80
T-S008-2024-12,S008,20241201,2024-12-01,2024-12,Metro Sydney,17939.39,0.2335,100
T-S008-2025-01,S008,20250101,2025-01-01,2025-01,Metro Sydney,17136.62,0.2539,96
T-S008-2025-02,S008,20250201,2025-02-01,2025-02,Metro Sydney,13613.37,0.2546,80
T-S008-2025-03,S008,20250301,2025-03-01,2025-03,Metro Sydney,11997.8,0.2594,80
T-S008-2025-04,S008,20250401,2025-04-01,2025-04,Metro Sydney,10000.0,0.2372,80
T-S008-2025-05,S008,20250501,2025-05-01,2025-05,Metro Sydney,10086.86,0.255,80
T-S008-2025-06,S008,20250601,2025-06-01,2025-06,Metro Sydney,11205.3,0.2364,80
T-S008-2025-07,S008,20250701,2025-07-01,2025-07,Metro Sydney,11025.43,0.2454,80
T-S008-2025-08,S008,20250801,2025-08-01,2025-08,Metro Sydney,11673.57,0.2441,80
T-S008-2025-09,S008,20250901,2025-09-01,2025-09,Metro Sydney,10000.0,0.2273,80
T-S008-2025-10,S008,20251001,2025-10-01,2025-10,Metro Sydney,11287.34,0.2529,80
T-S008-2025-11,S008,20251101,2025-11-01,2025-11,Metro Sydney,16758.88,0.2469,94
T-S008-2025-12,S008,20251201,2025-12-01,2025-12,Metro Sydney,21838.04,0.249,142
T-S009-2023-01,S009,20230101,2023-01-01,2023-01,Metro Sydney,12202.62,0.2419,80
T-S009-2023-02,S009,20230201,2023-02-01,2023-02,Metro Sydney,10412.16,0.2472,80
