ReturnID,SaleID,OrderID,ReturnDate,DaysAfterPurchase,ReturnReason,ReturnQuantity,RefundAmount,RestockingFee,ReturnStatus
R0000115,SL000002315,O00001336,2025-06-15,13,Not as described,1,23.38,0.0,Completed
R0000116,SL000002337,O00001349,2023-12-23,20,Incorrect item,2,77.83,0.0,Completed
R0000117,SL000002391,O00001375,2025-03-25,7,Damaged item,1,50.24,0.0,Completed
R0000118,SL000002425,O00001399,2023-07-22,33,Damaged item,1,473.53,0.0,Completed
R0000119,SL000002452,O00001415,2023-12-12,5,Incorrect item,1,67.02,0.0,Completed
R0000120,SL000002453,O00001416,2024-10-01,15,Changed mind,1,63.59,0.0,Completed
R0000121,SL000002479,O00001428,2025-12-22,15,Changed mind,1,52.41,0.0,Completed
R0000122,SL000002487,O00001433,2023-09-19,14,Damaged item,3,26.45,0.0,Completed
R0000123,SL000002545,O00001473,2025-01-05,31,Changed mind,1,40.36,0.0,Completed
R0000124,SL000002561,O00001481,2025-02-01,32,Faulty product,3,56.51,0.0,Completed
R0000125,SL000002600,O00001504,2024-09-24,3,Late delivery,1,21.83,0.0,Completed
R0000126,SL000002630,O00001522,2023-10-13,5,Changed mind,1,395.06,0.0,Pending
R0000127,SL000002649,O00001531,2023-11-26,6,Damaged item,1,17.07,0.0,Completed
R0000128,SL000002653,O00001534,2023-05-11,6,Damaged item,3,69.18,0.0,Completed
R0000129,SL000002657,O00001536,2024-07-07,7,Changed mind,1,23.34,0.0,Completed
R0000130,SL000002700,O00001563,2023-12-31,10,Changed mind,1,80.0,0.0,Completed
R0000131,SL000002715,O00001574,2025-12-19,14,Damaged item,2,69.98,0.0,Completed
R0000132,SL000002720,O00001578,2024-11-19,6,Changed mind,1,10.1,1.78,Completed
R0000133,SL000002738,O00001591,2025-11-18,9,Incorrect item,4,200.48,0.0,Completed
R0000134,SL000002750,O00001595,2025-03-20,4,Changed mind,1,13.32,0.0,Completed
R0000135,SL000002787,O00001618,2025-11-14,11,Incorrect item,1,332.98,0.0,Completed
R0000136,SL000002791,O00001620,2024-07-29,29,Changed mind,4,34.53,0.0,Completed
R0000137,SL000002808,O00001631,2025-12-29,2,Changed mind,1,42.64,0.0,Completed
R0000138,SL000002835,O00001647,2023-12-29,7,Size or fit issue,1,76.0,0.0,Completed
R0000139,SL000002841,O00001652,2025-02-06,5,Changed mind,1,78.4,0.0,Completed
R0000140,SL000002878,O00001673,2023-03-10,2,Incorrect item,1,33.95,0.0,Completed
R0000141,SL000002885,O00001676,2024-07-27,8,Damaged item,1,69.63,0.0,Completed
R0000142,SL000002895,O00001681,2023-05-16,13,Faulty product,1,73.45,0.0,Completed
R0000143,SL000002897,O00001683,2023-11-30,4,Damaged item,1,124.12,0.0,Completed
R0000144,SL000002908,O00001690,2024-09-07,8,Incorrect item,3,61.59,0.0,Completed
R0000145,SL000002914,O00001691,2024-10-08,19,Changed mind,1,60.9,10.75,Completed
R0000146,SL000002916,O00001693,2025-08-09,16,Not as described,4,133.0,0.0,Completed
R0000147,SL000002933,O00001706,2023-04-03,7,Faulty product,1,146.7,0.0,Completed
R0000148,SL000002939,O00001710,2023-12-23,4,Changed mind,1,115.55,0.0,Completed
R0000149,SL000002946,O00001714,2025-07-23,9,Changed mind,1,36.48,0.0,Pending
R0000150,SL000002985,O00001735,2023-09-04,4,Changed mind,2,30.78,0.0,Pending
R0000151,SL000003018,O00001750,2025-02-10,2,Size or fit issue,1,52.9,0.0,Completed
R0000152,SL000003051,O00001771,2024-11-27,21,Damaged item,1,119.16,0.0,Completed
R0000153,SL000003067,O00001780,2023-09-26,6,Changed mind,2,27.78,0.0,Completed
R0000154,SL000003076,O00001783,2025-02-23,8,Damaged item,3,98.7,0.0,Completed
R0000155,SL000003084,O00001788,2023-11-19,6,Damaged item,1,156.37,0.0,Completed
R0000156,SL000003110,O00001804,2025-06-17,8,Changed mind,2,96.36,17.0,Completed
R0000157,SL000003153,O00001833,2023-10-27,14,Faulty product,3,65.72,0.0,Completed
R0000158,SL000003163,O00001838,2023-07-19,8,Faulty product,1,11.88,0.0,Completed
R0000159,SL000003203,O00001860,2024-03-11,6,Late delivery,1,15.22,0.0,Completed
R0000160,SL000003231,O00001875,2024-07-12,18,Faulty product,1,167.12,0.0,Completed
R0000161,SL000003236,O00001877,2026-01-18,28,Not as described,1,65.24,0.0,Completed
R0000162,SL000003267,O00001896,2023-05-23,12,Changed mind,1,32.2,0.0,Completed
R0000163,SL000003275,O00001902,2024-12-06,3,Late delivery,1,171.3,0.0,Completed
R0000164,SL000003282,O00001906,2023-12-13,3,Incorrect item,1,7.04,0.0,Completed
R0000165,SL000003325,O00001934,2025-11-24,6,Not as described,1,144.05,0.0,Completed
R0000166,SL000003333,O00001939,2025-07-04,6,Changed mind,1,16.01,0.0,Completed
R0000167,SL000003334,O00001940,2023-01-26,17,Incorrect item,1,90.12,0.0,Completed
R0000168,SL000003360,O00001960,2023-03-19,17,Faulty product,1,47.94,0.0,Completed
R0000169,SL000003362,O00001962,2024-11-28,7,Damaged item,1,33.62,0.0,Completed
R0000170,SL000003369,O00001965,2024-09-15,19,Faulty product,4,42.56,0.0,Completed
R0000171,SL000003380,O00001975,2023-05-09,34,Changed mind,1,11.64,0.0,Completed
R0000172,SL000003443,O00002016,2023-12-25,2,Damaged item,1,21.82,0.0,Completed
R0000173,SL000003461,O00002026,2024-12-04,31,Damaged item,2,156.8,0.0,Completed
R0000174,SL000003478,O00002039,2025-02-01,5,Changed mind,1,3.6,0.0,Completed
R0000175,SL000003501,O00002054,2024-06-17,11,Incorrect item,1,34.3,0.0,Completed
R0000176,SL000003531,O00002071,2024-08-15,18,Faulty product,4,205.08,0.0,Completed
R0000177,SL000003541,O00002076,2025-12-14,10,Damaged item,2,11.8,0.0,Completed
R0000178,SL000003592,O00002101,2024-01-14,30,Faulty product,2,171.17,0.0,Completed
R0000179,SL000003599,O00002106,2024-06-16,2,Changed mind,1,76.46,13.49,Completed
R0000180,SL000003606,O00002110,2024-04-11,19,Not as described,1,34.3,0.0,Completed
R0000181,SL000003610,O00002113,2025-12-21,12,Incorrect item,1,252.26,0.0,Completed
R0000182,SL000003650,O00002134,2025-08-04,10,Damaged item,1,11.52,0.0,Completed
R0000183,SL000003673,O00002150,2024-12-21,12,Damaged item,1,63.26,0.0,Completed
R0000184,SL000003678,O00002154,2024-03-17,12,Changed mind,1,34.65,0.0,Completed
R0000185,SL000003710,O00002175,2025-11-21,6,Not as described,1,177.96,0.0,Completed
R0000186,SL000003740,O00002197,2023-02-26,6,Incorrect item,1,68.07,0.0,Completed
R0000187,SL000003770,O00002210,2024-11-25,30,Changed mind,2,18.86,3.33,Completed
R0000188,SL000003811,O00002234,2023-11-30,9,Changed mind,1,20.02,0.0,Pending
R0000189,SL000003824,O00002244,2024-02-01,15,Changed mind,1,18.27,0.0,Pending
R0000190,SL000003825,O00002244,2024-01-28,11,Changed mind,1,370.25,0.0,Completed
R0000191,SL000003828,O00002246,2024-03-12,11,Faulty product,1,191.85,0.0,Completed
R0000192,SL000003830,O00002247,2025-10-28,22,Incorrect item,4,133.0,0.0,Completed
R0000193,SL000003833,O00002248,2024-02-25,2,Damaged item,1,113.45,0.0,Completed
R0000194,SL000003863,O00002266,2025-01-29,45,Changed mind,1,399.13,0.0,Pending
R0000195,SL000003876,O00002274,2023-10-26,15,Size or fit issue,2,82.08,0.0,Completed
R0000196,SL000003897,O00002284,2025-02-18,5,Changed mind,1,106.83,0.0,Completed
R0000197,SL000003903,O00002287,2025-03-05,22,Size or fit issue,1,44.81,0.0,Completed
R0000198,SL000003915,O00002291,2024-10-13,14,Damaged item,1,252.57,0.0,Completed
R0000199,SL000003940,O00002309,2025-02-17,20,Not as described,1,206.39,0.0,Completed
R0000200,SL000004059,O00002381,2023-09-17,5,Changed mind,1,29.15,5.14,Completed
R0000201,SL000004104,O00002406,2025-01-08,8,Not as described,1,157.69,0.0,Completed
R0000202,SL000004111,O00002410,2024-01-08,16,Size or fit issue,1,30.8,0.0,Completed
R0000203,SL000004129,O00002421,2025-03-16,10,Damaged item,1,19.22,0.0,Completed
R0000204,SL000004157,O00002441,2025-11-02,14,Late delivery,1,68.22,0.0,Completed
R0000205,SL000004158,O00002441,2025-10-30,11,Not as described,2,51.58,0.0,Completed
R0000206,SL000004160,O00002441,2025-11-19,31,Not as described,1,275.89,0.0,Completed
R0000207,SL000004246,O00002493,2026-01-10,40,Faulty product,2,119.76,0.0,Completed
R0000208,SL000004258,O00002498,2024-05-30,19,Changed mind,1,82.42,14.55,Completed
R0000209,SL000004269,O00002504,2024-06-23,8,Changed mind,1,30.82,5.44,Completed
R0000210,SL000004294,O00002519,2025-02-25,12,Faulty product,1,28.84,0.0,Completed
R0000211,SL000004320,O00002535,2023-12-17,6,Faulty product,1,16.77,0.0,Completed
R0000212,SL000004324,O00002538,2025-12-28,8,Faulty product,1,553.55,0.0,Completed
R0000213,SL000004338,O00002546,2023-12-18,11,Size or fit issue,1,10.48,0.0,Completed
R0000214,SL000004361,O00002558,2023-12-21,11,Faulty product,1,194.22,0.0,Completed
R0000215,SL000004372,O00002567,2023-12-08,17,Changed mind,1,17.3,0.0,Completed
R0000216,SL000004377,O00002569,2023-04-12,1,Incorrect item,4,47.04,0.0,Completed
R0000217,SL000004380,O00002572,2025-11-29,17,Faulty product,1,63.92,0.0,Completed
R0000218,SL000004394,O00002581,2024-06-12,25,Not as described,1,85.88,0.0,Completed
R0000219,SL000004396,O00002583,2025-12-12,2,Changed mind,1,155.29,0.0,Completed
R0000220,SL000004412,O00002591,2023-09-04,4,Damaged item,2,300.23,0.0,Completed
R0000221,SL000004445,O00002607,2025-11-30,3,Faulty product,1,50.41,0.0,Completed
R0000222,SL000004471,O00002618,2025-11-22,3,Damaged item,1,13.61,0.0,Completed
R0000223,SL000004492,O00002634,2024-02-11,17,Changed mind,1,131.41,0.0,Completed
R0000224,SL000004507,O00002648,2025-09-29,3,Size or fit issue,1,200.23,0.0,Completed
R0000225,SL000004514,O00002652,2025-05-30,9,Not as described,4,53.26,0.0,Completed
R0000226,SL000004549,O00002673,2024-12-04,17,Changed mind,1,72.38,0.0,Completed
R0000227,SL000004552,O00002675,2023-12-25,6,Changed mind,2,129.21,22.8,Completed
R0000228,SL000004573,O00002692,2024-12-27,10,Incorrect item,1,62.59,0.0,Completed
R0000229,SL000004583,O00002698,2025-09-17,24,Changed mind,1,45.97,0.0,Completed
R0000230,SL000004598,O00002706,2024-11-25,29,Faulty product,1,49.73,0.0,Completed
R0000231,SL000004608,O00002712,2025-10-09,5,Faulty product,1,63.88,0.0,Completed
R0000232,SL000004645,O00002732,2024-12-29,8,Faulty product,1,151.72,0.0,Completed
R0000233,SL000004646,O00002733,2025-09-20,42,Faulty product,1,50.59,0.0,Completed
R0000234,SL000004683,O00002758,2025-12-17,2,Damaged item,1,15.62,0.0,Completed
R0000235,SL000004731,O00002792,2024-11-28,8,Size or fit issue,1,22.34,0.0,Completed
R0000236,SL000004773,O00002817,2023-07-24,18,Faulty product,1,17.27,0.0,Completed
R0000237,SL000004784,O00002826,2025-11-09,15,Late delivery,1,78.51,0.0,Completed
R0000238,SL000004811,O00002844,2024-08-25,13,Changed mind,1,57.36,10.12,Completed
R0000239,SL000004817,O00002846,2025-01-19,2,Not as described,1,131.41,0.0,Completed
R0000240,SL000004828,O00002849,2025-12-13,26,Changed mind,1,7.55,1.33,Completed
R0000241,SL000004862,O00002868,2024-12-09,1,Changed mind,1,192.77,34.02,Completed
R0000242,SL000004876,O00002876,2024-03-28,6,Changed mind,1,24.55,0.0,Completed
R0000243,SL000004885,O00002880,2023-10-20,4,Changed mind,1,34.65,0.0,Pending
R0000244,SL000004890,O00002884,2025-07-29,3,Late delivery,2,260.19,0.0,Completed
R0000245,SL000004934,O00002905,2025-02-09,4,Incorrect item,1,51.96,0.0,Completed
R0000246,SL000004938,O00002907,2024-12-15,20,Size or fit issue,4,51.12,0.0,Completed
R0000247,SL000004942,O00002910,2024-12-27,24,Changed mind,1,24.48,0.0,Completed
R0000248,SL000005004,O00002949,2024-11-18,5,Damaged item,1,219.22,0.0,Completed
R0000249,SL000005033,O00002969,2025-07-17,42,Faulty product,1,25.54,0.0,Completed
R0000250,SL000005053,O00002981,2023-11-01,3,Faulty product,1,5.98,0.0,Pending
R0000251,SL000005085,O00003002,2024-01-23,10,Not as described,1,170.2,0.0,Completed
R0000252,SL000005165,O00003050,2024-12-24,4,Changed mind,1,381.7,0.0,Completed
R0000253,SL000005169,O00003054,2025-02-09,2,Not as described,1,14.03,0.0,Completed
R0000254,SL000005202,O00003071,2025-05-21,4,Faulty product,1,23.38,0.0,Completed
R0000255,SL000005246,O00003097,2023-12-05,11,Damaged item,1,56.91,0.0,Completed
R0000256,SL000005249,O00003098,2023-03-30,7,Damaged item,4,114.96,0.0,Completed
R0000257,SL000005250,O00003099,2024-04-22,18,Changed mind,4,137.2,0.0,Completed
R0000258,SL000005274,O00003111,2025-10-29,6,Incorrect item,4,73.92,0.0,Completed
R0000259,SL000005296,O00003124,2023-07-29,22,Damaged item,1,17.95,0.0,Completed
R0000260,SL000005307,O00003129,2024-12-01,11,Faulty product,1,305.46,0.0,Completed
R0000261,SL000005312,O00003132,2025-03-13,7,Incorrect item,2,9.08,0.0,Completed
R0000262,SL000005379,O00003173,2023-08-11,4,Changed mind,4,123.97,21.88,Completed
R0000263,SL000005411,O00003192,2025-09-26,13,Damaged item,1,18.25,0.0,Completed
R0000264,SL000005432,O00003205,2025-11-23,14,Incorrect item,1,373.18,0.0,Completed
R0000265,SL000005472,O00003225,2023-05-18,28,Faulty product,2,103.65,0.0,Pending
R0000266,SL000005504,O00003242,2024-02-01,8,Changed mind,2,130.72,23.07,Completed
R0000267,SL000005519,O00003252,2024-02-22,29,Faulty product,1,88.47,0.0,Completed
R0000268,SL000005554,O00003273,2025-08-29,21,Size or fit issue,1,19.89,0.0,Completed
R0000269,SL000005564,O00003281,2025-01-23,13,Incorrect item,2,83.52,0.0,Completed
R0000270,SL000005632,O00003323,2023-08-21,6,Size or fit issue,1,196.23,0.0,Completed
R0000271,SL000005640,O00003329,2025-01-09,2,Incorrect item,1,11.21,0.0,Completed
R0000272,SL000005641,O00003330,2025-08-23,9,Changed mind,1,29.75,5.25,Completed
R0000273,SL000005667,O00003346,2023-12-10,8,Damaged item,1,29.75,0.0,Completed
R0000274,SL000005693,O00003361,2023-11-12,15,Changed mind,1,374.07,0.0,Completed
R0000275,SL000005704,O00003368,2025-04-30,2,Late delivery,1,93.09,0.0,Completed
R0000276,SL000005725,O00003381,2023-07-30,1,Incorrect item,4,175.57,0.0,Completed
R0000277,SL000005729,O00003383,2023-03-31,27,Changed mind,1,74.6,0.0,Completed
R0000278,SL000005737,O00003386,2024-08-06,20,Changed mind,1,68.24,0.0,Completed
R0000279,SL000005756,O00003398,2024-08-22,20,Size or fit issue,1,66.11,0.0,Completed
R0000280,SL000005774,O00003407,2025-12-19,27,Late delivery,1,95.06,0.0,Completed
R0000281,SL000005783,O00003413,2024-09-22,36,Faulty product,1,329.59,0.0,Completed
R0000282,SL000005795,O00003420,2023-02-14,9,Incorrect item,1,135.8,0.0,Completed
R0000283,SL000005804,O00003424,2024-03-06,17,Late delivery,1,10.93,0.0,Completed
R0000284,SL000005817,O00003434,2024-12-06,20,Changed mind,1,51.25,0.0,Completed
R0000285,SL000005831,O00003443,2025-01-25,28,Late delivery,1,24.19,0.0,Completed
R0000286,SL000005838,O00003447,2023-10-17,14,Faulty product,1,96.0,0.0,Completed
R0000287,SL000005869,O00003467,2024-07-13,33,Faulty product,2,180.63,0.0,Completed
R0000288,SL000005910,O00003497,2025-09-28,9,Size or fit issue,1,101.78,0.0,Completed
R0000289,SL000005947,O00003520,2023-06-25,8,Changed mind,1,26.6,0.0,Completed
R0000290,SL000005959,O00003526,2025-12-12,13,Damaged item,2,127.84,0.0,Completed
R0000291,SL000005967,O00003530,2024-02-17,1,Changed mind,1,154.81,0.0,Completed
R0000292,SL000005972,O00003532,2025-11-30,24,Faulty product,1,20.57,0.0,Completed
R0000293,SL000005986,O00003539,2024-01-09,11,Size or fit issue,1,127.21,0.0,Completed
R0000294,SL000005995,O00003544,2025-06-14,7,Changed mind,1,127.47,0.0,Completed
R0000295,SL000006011,O00003552,2026-01-03,20,Faulty product,1,65.96,0.0,Completed
R0000296,SL000006020,O00003557,2025-12-16,12,Faulty product,1,21.22,0.0,Completed
R0000297,SL000006036,O00003566,2024-07-31,5,Faulty product,1,78.4,0.0,Completed
R0000298,SL000006065,O00003586,2025-11-26,17,Changed mind,1,64.6,11.4,Completed
R0000299,SL000006071,O00003589,2023-02-01,5,Damaged item,3,35.64,0.0,Pending
R0000300,SL000006106,O00003607,2024-10-27,10,Faulty product,1,7.68,0.0,Completed
R0000301,SL000006110,O00003610,2023-03-25,20,Faulty product,1,33.6,0.0,Completed
R0000302,SL000006124,O00003619,2025-06-10,9,Faulty product,1,20.28,0.0,Completed
R0000303,SL000006157,O00003637,2023-06-07,7,Changed mind,2,99.11,0.0,Completed
R0000304,SL000006160,O00003638,2025-12-15,9,Size or fit issue,1,29.75,0.0,Completed
R0000305,SL000006161,O00003638,2025-12-09,3,Not as described,2,27.36,0.0,Completed
R0000306,SL000006162,O00003639,2024-12-26,11,Not as described,4,112.15,0.0,Completed
